e,d_e,y_diff
0.0,0.0,-0.07
0.0,0.0,0.0
0.14,0.14,-0.09
0.06999999999999998,-0.07000000000000003,-0.16
0.03,-0.03999999999999998,-0.19
0.04999999999999999,0.01999999999999999,-0.25
0.040000000000000036,-0.009999999999999953,-0.3
0.02999999999999997,-0.010000000000000064,-0.33
0.020000000000000018,-0.009999999999999953,-0.36
0.02999999999999997,0.009999999999999953,-0.4
0.010000000000000009,-0.019999999999999962,-0.42
0.030000000000000027,0.020000000000000018,-0.44
0.0,-0.030000000000000027,-0.45
0.0,0.0,-0.46
0.0,0.0,-0.48
0.019999999999999962,0.019999999999999962,-0.49
0.010000000000000009,-0.009999999999999953,-0.5
0.020000000000000018,0.010000000000000009,-0.51
0.020000000000000018,0.0,-0.54
0.040000000000000036,0.020000000000000018,-0.56
0.009999999999999898,-0.030000000000000138,-0.57
-0.019999999999999907,-0.029999999999999805,-0.57
0.010000000000000009,0.029999999999999916,-0.58
0.019999999999999907,0.009999999999999898,-0.58
-0.019999999999999907,-0.039999999999999813,-0.57
-0.09000000000000008,-0.07000000000000017,-0.49
-1.46,-1.3699999999999999,-0.21
0.99,2.45,-0.08
-0.11,-1.1,0.02
-0.05,0.06,0.04
-0.010000000000000009,0.039999999999999994,0.04
-0.03999999999999998,-0.02999999999999997,0.05
0.44999999999999996,0.48999999999999994,-0.1
-0.06999999999999998,-0.5199999999999999,-0.08
0.03999999999999998,0.10999999999999996,-0.07
0.0,-0.03999999999999998,-0.06
-0.21,-0.21,-0.05
0.22,0.43,-0.05
0.06999999999999998,-0.15000000000000002,-0.06
-0.09999999999999998,-0.16999999999999996,-0.04
-0.09,0.009999999999999981,-0.04
-1.09,-1.0,-0.08
0.0,1.09,-0.1
1.15,1.15,-0.12
0.11000000000000001,-1.0399999999999998,-0.21
0.0,-0.11000000000000001,-0.26
0.12,0.12,-0.31
0.02999999999999997,-0.09000000000000002,-0.34
0.0,-0.02999999999999997,-0.35
-0.03999999999999998,-0.03999999999999998,-0.36
0.08999999999999997,0.12999999999999995,-0.38
0.030000000000000027,-0.05999999999999994,-0.39
0.0,-0.030000000000000027,-0.39
0.010000000000000009,0.010000000000000009,-0.41
0.0,-0.010000000000000009,-0.41
0.020000000000000018,0.020000000000000018,-0.41
0.0,-0.020000000000000018,-0.42
0.0,0.0,-0.42
0.0,0.0,-0.41
0.010000000000000009,0.010000000000000009,-0.43
0.020000000000000018,0.010000000000000009,-0.44
0.029999999999999916,0.009999999999999898,-0.46
0.010000000000000009,-0.019999999999999907,-0.48
0.030000000000000027,0.020000000000000018,-0.49
0.010000000000000009,-0.020000000000000018,-0.5
0.0,-0.010000000000000009,-0.52
0.0,0.0,-0.54
-1.3900000000000001,-1.3900000000000001,-0.56
1.45,2.84,-0.61
-1.41,-2.86,-0.66
1.44,2.8499999999999996,-0.66
-0.08999999999999997,-1.5299999999999998,-0.63
-0.12,-0.030000000000000027,-0.52
-0.050000000000000044,0.06999999999999995,-0.42
-0.12999999999999995,-0.0799999999999999,-0.3
-0.08000000000000002,0.04999999999999993,-0.2
-0.07,0.010000000000000009,-0.13
-0.07,0.0,-0.09
-0.12,-0.04999999999999999,0.02
-0.1,0.01999999999999999,0.11
-0.07,0.03,0.18
-0.09,-0.01999999999999999,0.26
-0.08000000000000002,0.009999999999999981,0.32
-0.04999999999999999,0.030000000000000027,0.4
0.37,0.42,-0.08
0.02,-0.35,-0.04
-0.01,-0.03,-0.01
0.01,0.02,-0.01
0.0,-0.01,0.01
0.0,0.0,-0.03
-0.99,-0.99,-0.1
1.17,2.16,-0.14
0.06,-1.1099999999999999,-0.19
0.04999999999999999,-0.010000000000000009,-0.24
-0.02999999999999997,-0.07999999999999996,-0.28
0.08000000000000002,0.10999999999999999,-0.31
0.0,-0.08000000000000002,-0.31
0.02999999999999997,0.02999999999999997,-0.32
0.0,-0.02999999999999997,-0.34
0.020000000000000018,0.020000000000000018,-0.35
-0.030000000000000027,-0.050000000000000044,-0.38
-1.28,-1.25,-0.37
1.34,2.62,-0.38
-0.04999999999999999,-1.3900000000000001,-0.39
0.07,0.12,-0.39
-0.04999999999999999,-0.12,-0.4
0.06,0.10999999999999999,-0.4
0.0,-0.06,-0.4
0.0,0.0,-0.4
0.010000000000000009,0.010000000000000009,-0.41
0.009999999999999953,-5.551115123125783e-17,-0.41
0.0,-0.009999999999999953,-0.41
-0.04999999999999999,-0.04999999999999999,-0.41
0.04999999999999999,0.09999999999999998,-0.42
0.0,-0.04999999999999999,-0.42
0.010000000000000009,0.010000000000000009,-0.42
-0.03999999999999998,-0.04999999999999999,-0.42
0.010000000000000009,0.04999999999999999,-0.45
0.10000000000000003,0.09000000000000002,-0.47
0.019999999999999907,-0.08000000000000013,-0.5
0.050000000000000044,0.030000000000000138,-0.56
0.030000000000000027,-0.020000000000000018,-0.59
0.020000000000000018,-0.010000000000000009,-0.62
0.019999999999999907,-1.1102230246251565e-16,-0.67
0.020000000000000018,1.1102230246251565e-16,-0.69
0.0,-0.020000000000000018,-0.69
-0.04999999999999993,-0.04999999999999993,-0.7
0.04999999999999993,0.09999999999999987,-0.69
-0.04999999999999993,-0.09999999999999987,-0.69
0.039999999999999925,0.08999999999999986,-0.69
-0.05999999999999994,-0.09999999999999987,-0.69
0.0,0.05999999999999994,-0.69
-1.37,-1.37,-0.69
1.43,2.8,-0.69
-0.05999999999999994,-1.4899999999999998,-0.68
0.020000000000000018,0.07999999999999996,-0.68
0.029999999999999916,0.009999999999999898,-0.69
0.010000000000000009,-0.019999999999999907,-0.68
-0.010000000000000009,-0.020000000000000018,-0.68
0.0,0.010000000000000009,-0.68
0.0,0.0,-0.67
-0.04999999999999993,-0.04999999999999993,-0.62
-0.23000000000000004,-0.1800000000000001,-0.45
-0.23999999999999996,-0.009999999999999926,-0.24
-0.1,0.13999999999999996,-0.08
-0.07,0.03,0.01
-0.1,-0.03,0.07
-0.06,0.04000000000000001,0.13
-0.06,0.0,0.18
-0.05000000000000002,0.009999999999999981,0.25
-0.09999999999999998,-0.04999999999999996,0.34
-0.07,0.02999999999999997,0.4
-0.02999999999999997,0.040000000000000036,0.41
-0.040000000000000036,-0.010000000000000064,0.45
-0.030000000000000027,0.010000000000000009,0.49
-0.04999999999999993,-0.019999999999999907,0.56
0.0,0.04999999999999993,0.56
0.0,0.0,0.57
-0.010000000000000009,-0.010000000000000009,0.57
0.0,0.010000000000000009,0.56
0.010000000000000009,0.010000000000000009,0.56
-0.010000000000000009,-0.020000000000000018,0.54
0.010000000000000009,0.020000000000000018,0.53
0.0,-0.010000000000000009,0.53
-0.010000000000000009,-0.010000000000000009,0.54
0.0,0.010000000000000009,0.53
0.030000000000000027,0.030000000000000027,0.52
-0.030000000000000027,-0.06000000000000005,0.53
0.0,0.030000000000000027,0.52
0.0,0.0,0.53
0.010000000000000009,0.010000000000000009,0.53
-0.07000000000000006,-0.08000000000000007,0.63
-0.09999999999999998,-0.029999999999999916,0.69
0.0,0.09999999999999998,0.72
0.0,0.0,0.76
-0.05999999999999994,-0.05999999999999994,0.82
-0.040000000000000036,0.019999999999999907,0.85
-0.010000000000000009,0.030000000000000027,0.87
0.0,0.010000000000000009,0.91
-0.010000000000000009,-0.010000000000000009,0.96
0.010000000000000009,0.020000000000000018,0.97
-0.030000000000000027,-0.040000000000000036,0.98
